FullDate,Price,Open,High,Low,Vol.,Change %,Month,ConcatMonth,Day,ConcatDay,Year,Date,Value
01-01-1992,25.806,25.806,25.84,25.796,,0.04%,1,1,1,1,1992,01-01-1992,25.796
02-01-1992,25.806,25.806,25.84,25.773,,0.00%,#VALUE!,1,#VALUE!,2,#VALUE!,02-01-1992,25.773
03-01-1992,25.826,25.826,25.856,25.813,,0.08%,#VALUE!,1,#VALUE!,3,#VALUE!,03-01-1992,25.813
06-01-1992,25.813,25.813,25.836,25.813,,-0.05%,#VALUE!,1,#VALUE!,6,#VALUE!,06-01-1992,25.813
07-01-1992,25.83,25.83,25.873,25.787,,0.07%,#VALUE!,1,#VALUE!,7,#VALUE!,07-01-1992,25.787
08-01-1992,25.823,25.823,25.863,25.823,,-0.03%,#VALUE!,1,#VALUE!,8,#VALUE!,08-01-1992,25.823
09-01-1992,25.823,25.823,25.88,25.79,,0.00%,#VALUE!,1,#VALUE!,9,#VALUE!,09-01-1992,25.79
10-01-1992,25.823,25.823,25.867,25.823,,0.00%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,10-01-1992,25.823
13-01-1992,25.85,25.85,25.873,25.833,,0.10%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,13-01-1992,25.833
14-01-1992,25.84,25.84,25.863,25.84,,-0.04%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,14-01-1992,25.84
15-01-1992,25.84,25.84,25.867,25.836,,0.00%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,15-01-1992,25.836
16-01-1992,25.873,25.873,25.913,25.8,,0.13%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,16-01-1992,25.8
17-01-1992,26.032,26.032,26.154,25.857,,0.61%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,17-01-1992,25.857
20-01-1992,25.924,25.924,26.075,25.867,,-0.41%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,20-01-1992,25.867
21-01-1992,25.917,25.917,25.971,25.91,,-0.03%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,21-01-1992,25.91
22-01-1992,25.912,25.912,25.969,25.852,,-0.02%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,22-01-1992,25.852
23-01-1992,25.927,25.927,25.971,25.89,,0.06%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,23-01-1992,25.89
24-01-1992,26.072,26.072,26.12,25.857,,0.56%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,24-01-1992,25.857
27-01-1992,25.966,25.966,26.053,25.919,,-0.41%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,27-01-1992,25.919
28-01-1992,25.957,25.957,26.004,25.944,,-0.03%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,28-01-1992,25.944
29-01-1992,25.94,25.94,26.052,25.927,,-0.07%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,29-01-1992,25.927
30-01-1992,25.927,25.927,25.981,25.873,,-0.05%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,30-01-1992,25.873
31-01-1992,26.001,26.001,26.052,25.92,,0.29%,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,31-01-1992,25.92
03-02-1992,25.86,25.86,25.991,25.813,,-0.54%,#VALUE!,2,#VALUE!,3,#VALUE!,03-02-1992,25.813
04-02-1992,25.826,25.826,25.944,25.78,,-0.13%,#VALUE!,2,#VALUE!,4,#VALUE!,04-02-1992,25.78
05-02-1992,25.803,25.803,25.923,25.796,,-0.09%,#VALUE!,2,#VALUE!,5,#VALUE!,05-02-1992,25.796
06-02-1992,25.816,25.816,25.846,25.806,,0.05%,#VALUE!,2,#VALUE!,6,#VALUE!,06-02-1992,25.806
07-02-1992,25.846,25.846,25.917,25.787,,0.12%,#VALUE!,2,#VALUE!,7,#VALUE!,07-02-1992,25.787
